,publishing_day,publishing_hour,days_to_trending,title_length,category_name
0,Mon,17,1,34,People & Blogs
1,Mon,7,1,62,Entertainment
2,Sun,19,2,53,Comedy
3,Mon,11,1,32,Entertainment
4,Sun,18,2,24,Entertainment
5,Mon,19,1,21,Science & Technology
6,Sun,5,2,41,Entertainment
7,Sun,21,2,35,Science & Technology
8,Mon,14,1,65,Film & Animation
9,Mon,13,1,53,News & Politics
10,Mon,2,1,86,Sports
11,Mon,3,1,78,Entertainment
12,Mon,17,1,42,Music
13,Sun,14,2,38,News & Politics
14,Sun,18,2,24,Pets & Animals
15,Mon,20,1,16,Science & Technology
16,Sun,17,2,48,Comedy
17,Mon,16,1,52,Education
18,Mon,15,1,26,Science & Technology
19,Sun,22,2,40,Education
20,Mon,14,1,32,Education
21,Sun,15,2,50,Science & Technology
22,Mon,16,1,50,Education
23,Sun,16,2,67,Howto & Style
24,Mon,14,1,28,Comedy
25,Sun,14,2,38,Entertainment
26,Mon,12,1,36,Science & Technology
27,Mon,16,1,47,Howto & Style
28,Mon,15,1,100,News & Politics
29,Sun,17,2361,23,Film & Animation
30,Mon,1,1,60,Autos & Vehicles
31,Mon,17,8,43,Entertainment
32,Fri,17,4,42,Music
33,Sun,23,2,31,Entertainment
34,Sun,5,2,54,Travel & Events
35,Fri,6,207,20,People & Blogs
36,Sun,18,2,46,Film & Animation
37,Mon,15,1,57,Music
38,Sun,23,2,33,Comedy
39,Mon,15,1,50,Music
40,Mon,17,1,17,Music
41,Sun,21,2,65,News & Politics
42,Mon,15,1,51,Sports
43,Sat,16,3,75,Music
44,Sat,15,3,75,People & Blogs
45,Sun,0,2,48,Howto & Style
46,Mon,13,1,65,Entertainment
47,Fri,18,4,50,Sports
48,Mon,2,1,54,Sports
49,Fri,23,4,55,Entertainment
50,Sat,19,3,85,Entertainment
51,Sun,15,2,58,News & Politics
52,Sat,15,3,57,Sports
53,Fri,15,4,60,Music
54,Sat,18,3,72,People & Blogs
55,Fri,19,4,71,Entertainment
56,Sat,20,3,48,Sports
57,Sun,15,2,98,News & Politics
58,Mon,0,1,27,Autos & Vehicles
59,Sat,6,3,29,Entertainment
60,Sat,15,3,40,Science & Technology
61,Mon,15,1,94,News & Politics
62,Fri,15,4,38,Entertainment
63,Fri,5,4,34,Music
64,Sun,13,2,58,News & Politics
65,Fri,19,4,53,Entertainment
66,Sat,1,3,45,People & Blogs
67,Fri,18,4,39,Comedy
68,Mon,17,1,68,Entertainment
69,Fri,7,4,45,Howto & Style
70,Thu,11,5,43,Music
71,Sat,3,3,54,Film & Animation
72,Fri,23,4,56,Entertainment
73,Sat,17,3,74,Entertainment
74,Fri,17,4,51,Music
75,Fri,12,4,61,Entertainment
76,Fri,12,4,64,Science & Technology
77,Fri,14,4,66,Music
78,Fri,9,4,45,Entertainment
79,Tue,20,28,76,Comedy
80,Sat,2,3,33,Howto & Style
81,Fri,20,4,33,Howto & Style
82,Fri,16,4,80,Howto & Style
83,Sun,20,2,98,News & Politics
84,Sat,5,3,26,Howto & Style
85,Sat,0,3,42,People & Blogs
86,Thu,17,5,83,Film & Animation
87,Thu,22,5,76,Music
88,Sat,15,3,48,Music
89,Fri,17,4,39,Entertainment
90,Sun,2,2,30,Education
91,Fri,2,4,47,Entertainment
92,Sun,0,2,33,Pets & Animals
93,Thu,18,5,32,Howto & Style
94,Thu,17,5,55,Film & Animation
95,Fri,15,4,48,Music
96,Fri,14,4,50,Music
97,Fri,18,4,59,Pets & Animals
98,Thu,22,5,45,Comedy
99,Fri,18,4,44,Music
100,Thu,11,5,39,People & Blogs
101,Thu,22,5,57,Music
102,Fri,11,4,54,Comedy
103,Thu,8,5,55,Entertainment
104,Fri,5,4,55,Music
105,Fri,3,4,42,Comedy
106,Fri,14,4,55,Entertainment
107,Fri,18,4,38,Howto & Style
108,Thu,22,5,34,Film & Animation
109,Fri,5,4,33,Music
110,Fri,17,4,40,Music
111,Fri,5,4,29,Music
112,Thu,5,5,17,Music
113,Thu,21,5,33,Science & Technology
114,Thu,17,5,73,Music
115,Fri,1,4,54,Howto & Style
116,Thu,0,5,43,Music
117,Thu,18,5,40,Entertainment
118,Thu,11,5,45,Entertainment
119,Thu,7,5,70,People & Blogs
120,Fri,0,4,44,People & Blogs
121,Thu,8,5,66,Entertainment
122,Thu,4,5,38,Comedy
123,Thu,23,5,41,People & Blogs
124,Thu,15,5,13,Music
125,Fri,13,4,48,News & Politics
126,Fri,13,4,42,Music
127,Fri,21,4,45,Music
128,Thu,13,5,34,Pets & Animals
129,Thu,22,5,46,Music
130,Wed,17,6,41,Music
131,Thu,19,5,36,Gaming
132,Fri,22,4,43,Howto & Style
133,Thu,2,5,87,Entertainment
134,Fri,8,4,67,Music
135,Thu,7,908,36,Entertainment
136,Thu,15,5,32,Music
137,Fri,8,4,48,Music
138,Thu,18,5,27,People & Blogs
139,Sun,4,2424,16,Entertainment
140,Fri,0,4,32,Music
141,Thu,9,5,38,Music
142,Fri,8,4,41,Music
143,Thu,14,5,35,Howto & Style
144,Thu,9,5,38,Entertainment
145,Thu,15,5,31,Entertainment
146,Thu,16,5,53,Entertainment
147,Fri,4,4,77,Music
148,Wed,13,6,61,Music
149,Wed,13,6,19,Music
150,Wed,21,6,21,Entertainment
151,Wed,5,6,37,Entertainment
152,Thu,2,5,65,Music
153,Thu,23,5,68,Entertainment
154,Thu,3,5,43,People & Blogs
155,Sun,19,1983,36,Education
156,Thu,14,5,46,Comedy
157,Thu,14,5,43,Education
158,Wed,14,6,70,Entertainment
159,Thu,17,5,45,Howto & Style
